######################################################
24-Sep-2023 17:24:45:Finished extracted the data for iris
24-Sep-2023 17:24:45:Defining RBF clusters...
24-Sep-2023 17:24:45:Finished finding the 40 RBF clusters, with delta=0.000010, T=10.000000
24-Sep-2023 17:24:45:Begin Training ...
24-Sep-2023 17:24:45:Error of round 2 : 0.771829 

24-Sep-2023 17:24:45:Error of round 3 : 0.761909 

24-Sep-2023 17:24:45:Error of round 4 : 0.758164 

24-Sep-2023 17:24:45:Error of round 5 : 0.755718 

24-Sep-2023 17:24:45:Error of round 6 : 0.754256 

24-Sep-2023 17:24:45:Error of round 7 : 0.753407 

24-Sep-2023 17:24:46:Error of round 8 : 0.752883 

24-Sep-2023 17:24:46:Error of round 9 : 0.752534 

24-Sep-2023 17:24:46:Error of round 10 : 0.752284 

24-Sep-2023 17:24:46:Error of round 11 : 0.752094 

24-Sep-2023 17:24:46:Error of round 12 : 0.751943 

24-Sep-2023 17:24:46:Error of round 13 : 0.751818 

24-Sep-2023 17:24:46:Error of round 14 : 0.751711 

24-Sep-2023 17:24:46:Error of round 15 : 0.751616 

24-Sep-2023 17:24:46:Error of round 16 : 0.751529 

24-Sep-2023 17:24:46:Error of round 17 : 0.751449 

24-Sep-2023 17:24:46:Error of round 18 : 0.751371 

24-Sep-2023 17:24:46:Error of round 19 : 0.751295 

24-Sep-2023 17:24:46:Error of round 20 : 0.751218 

24-Sep-2023 17:24:46:Error of round 21 : 0.751140 

24-Sep-2023 17:24:46:Error of round 22 : 0.751057 

24-Sep-2023 17:24:46:Error of round 23 : 0.750967 

24-Sep-2023 17:24:46:Error of round 24 : 0.750867 

24-Sep-2023 17:24:46:Error of round 25 : 0.750753 

24-Sep-2023 17:24:46:Error of round 26 : 0.750618 

24-Sep-2023 17:24:46:Error of round 27 : 0.750451 

24-Sep-2023 17:24:46:Error of round 28 : 0.750235 

24-Sep-2023 17:24:46:Error of round 29 : 0.749932 

24-Sep-2023 17:24:46:Error of round 30 : 0.749465 

24-Sep-2023 17:24:46:Error of round 31 : 0.748604 

24-Sep-2023 17:24:46:Error of round 32 : 0.746286 

24-Sep-2023 17:24:46:Error of round 33 : 0.644472 

24-Sep-2023 17:24:46:Error of round 34 : 0.400125 

24-Sep-2023 17:24:46:Error of round 35 : 0.398227 

24-Sep-2023 17:24:46:Error of round 36 : 0.397171 

24-Sep-2023 17:24:46:Error of round 37 : 0.396516 

24-Sep-2023 17:24:46:Error of round 38 : 0.396056 

24-Sep-2023 17:24:46:Error of round 39 : 0.395693 

24-Sep-2023 17:24:46:Error of round 40 : 0.395378 

24-Sep-2023 17:24:46:Error of round 41 : 0.395081 

